Round,mAP50,F1_Score,Precision,Recall,ASR_Miscls_Avg,ASR_Removal_Avg,ASR_CleanPred,Active_ASR,Miscls_Targets,Removal_Targets,Num_Attackers,Total_Label_Changed,Total_Poisoned_Batches,Total_Gen_Loss_Labels,Total_Gen_Steps,Num_Gen_Paths,Avg_Param_Delta,Max_Param_Delta
71,0.5250,0.5230,0.5507,0.4830,0.7316,0.0,0.8900,0.7839,985,0,5,1925,395,3850,790,5,22.9613,24.5075
72,0.5232,0.5307,0.5831,0.4899,0.7486,0.0,0.8347,0.7441,985,0,6,2259,465,4518,930,6,23.0850,24.8927
73,0.5203,0.5170,0.4374,0.4962,0.7952,0.0,0.8337,0.8022,985,0,4,1526,313,3052,626,4,23.1178,24.5250
74,0.5241,0.5694,0.6105,0.4780,0.7722,0.0,0.8208,0.7228,985,0,4,1526,313,3052,626,4,23.1118,24.5695
75,0.5243,0.5245,0.5386,0.4851,0.8342,0.0,0.8411,0.7808,985,0,5,1954,399,3908,798,5,23.0075,24.5682
76,0.5288,0.5578,0.7109,0.5010,0.6952,0.0,0.8609,0.6683,985,0,6,2293,480,4586,960,6,23.1356,24.4259
77,0.5335,0.5326,0.5785,0.5039,0.9024,0.0,0.7889,0.7507,985,0,8,3117,635,6234,1270,8,23.0886,24.2423
78,0.5325,0.5295,0.5755,0.4946,0.7409,0.0,0.7419,0.7819,985,0,4,1585,321,3170,642,4,23.0509,24.5571
79,0.5322,0.5217,0.5689,0.4966,0.7801,0.0,0.8385,0.7645,985,0,5,1792,392,3584,784,5,23.1635,24.5120
80,0.5281,0.5116,0.5262,0.4894,0.8961,0.0,0.8735,0.8030,985,0,8,3117,635,6234,1270,8,23.2122,24.7379
81,0.5302,0.5470,0.5772,0.4943,0.9236,0.0,0.9543,0.9691,985,0,10,3955,800,7910,1600,10,23.0428,24.4345
82,0.5327,0.5272,0.4758,0.4876,0.8443,0.0,0.7618,0.8208,985,0,5,1817,374,3634,748,5,23.0035,24.1167
83,0.5332,0.5462,0.4952,0.4904,0.8005,0.0,1.0000,0.7516,985,0,7,2595,548,5190,1096,7,23.1289,24.3925
84,0.5317,0.5097,0.5628,0.4956,0.8406,0.0,0.9030,0.8603,985,0,7,2595,548,5190,1096,7,23.1981,24.3981
85,0.5348,0.5159,0.5572,0.4907,0.8355,0.0,0.9249,0.9252,985,0,7,2789,554,5578,1108,7,23.1989,24.6592
86,0.5365,0.5181,0.5195,0.4946,0.9087,0.0,0.8201,0.7492,985,0,5,1817,374,3634,748,5,23.1536,24.4264
87,0.5341,0.5300,0.5576,0.4933,0.6642,0.0,0.9367,0.7910,985,0,5,1912,388,3824,776,5,23.2997,24.7123
